,"U.S. nuclear capacity, daily (Megawatts)"
2007 0821 21,100265.7
2007 0822 22,100265.7
2007 0823 23,100265.7
2007 0824 24,100265.7
2007 0825 25,100265.7
2007 0826 26,100265.7
2007 0827 27,100265.7
2007 0828 28,100265.7
2007 0829 29,100265.7
2007 0830 30,100265.7
2007 0831 31,100265.7
2007 0901 01,100265.7
2007 0902 02,100265.7
2007 0903 03,100265.7
2007 0904 04,100265.7
2007 0905 05,100265.7
2007 0906 06,100265.7
2007 0907 07,100265.7
2007 0908 08,100265.7
2007 0909 09,100265.7
2007 0910 10,100265.7
2007 0911 11,100265.7
2007 0912 12,100265.7
2007 0913 13,100265.7
2007 0914 14,100265.7
2007 0915 15,100265.7
2007 0916 16,100265.7
2007 0917 17,100265.7
2007 0918 18,100265.7
2007 0919 19,100265.7
2007 0920 20,100265.7
2007 0921 21,100265.7
2007 0922 22,100265.7
2007 0923 23,100265.7
2007 0924 24,100265.7
2007 0925 25,100265.7
2007 0926 26,100265.7
2007 0927 27,100265.7
2007 0928 28,100265.7
2007 0929 29,100265.7
2007 0930 30,100265.7
2007 1001 01,101764.9
2007 1002 02,101764.9
2007 1003 03,101764.9
2007 1004 04,101764.9
2007 1005 05,101764.9
2007 1006 06,101764.9
2007 1007 07,101764.9
2007 1008 08,101764.9
2007 1009 09,101764.9
2007 1010 10,101764.9
2007 1011 11,101764.9
2007 1012 12,101764.9
2007 1013 13,101764.9
2007 1014 14,101764.9
2007 1015 15,101764.9
2007 1016 16,101764.9
2007 1017 17,101764.9
2007 1018 18,101764.9
2007 1019 19,101764.9
2007 1020 20,101764.9
2007 1021 21,101764.9
2007 1022 22,101764.9
2007 1023 23,101764.9
2007 1024 24,101764.9
2007 1025 25,101764.9
2007 1026 26,101764.9
2007 1027 27,101764.9
2007 1028 28,101764.9
2007 1029 29,101764.9
2007 1030 30,101764.9
2007 1031 31,101764.9
2007 1101 01,101764.9
2007 1102 02,101764.9
2007 1103 03,101764.9
2007 1104 04,101764.9
2007 1105 05,101764.9
2007 1106 06,101764.9
2007 1107 07,101764.9
2007 1108 08,101764.9
2007 1109 09,101764.9
2007 1110 10,101764.9
2007 1111 11,101764.9
2007 1112 12,101764.9
2007 1113 13,101764.9
2007 1114 14,101764.9
2007 1115 15,101764.9
2007 1116 16,101764.9
2007 1117 17,101764.9
2007 1118 18,101764.9
2007 1119 19,101764.9
2007 1120 20,101764.9
2007 1121 21,101764.9
2007 1122 22,101764.9
2007 1123 23,101764.9
2007 1124 24,101764.9
2007 1125 25,101764.9
2007 1126 26,101764.9
2007 1127 27,101764.9
2007 1128 28,101764.9
2007 1129 29,101764.9
2007 1130 30,101764.9
2007 1201 01,101764.9
2007 1202 02,101764.9
2007 1203 03,101764.9
2007 1204 04,101764.9
2007 1205 05,101764.9
2007 1206 06,101764.9
2007 1207 07,101764.9
2007 1208 08,101764.9
2007 1209 09,101764.9
2007 1210 10,101764.9
2007 1211 11,101764.9
2007 1212 12,101764.9
2007 1213 13,101764.9
2007 1214 14,101764.9
2007 1215 15,101764.9
2007 1216 16,101764.9
2007 1217 17,101764.9
2007 1218 18,101764.9
2007 1219 19,101764.9
2007 1220 20,101764.9
2007 1221 21,101764.9
2007 1222 22,101764.9
2007 1223 23,101764.9
2007 1224 24,101764.9
2007 1225 25,101764.9
2007 1226 26,101764.9
2007 1227 27,101764.9
2007 1228 28,101764.9
2007 1229 29,101764.9
2007 1230 30,101764.9
2007 1231 31,101764.9
2008 0101 01,102494.2
2008 0102 02,102494.2
2008 0103 03,102494.2
2008 0104 04,102494.2
2008 0105 05,102494.2
2008 0106 06,102494.2
2008 0107 07,102494.2
2008 0108 08,102494.2
2008 0109 09,102494.2
2008 0110 10,102494.2
2008 0111 11,102494.2
2008 0112 12,102494.2
2008 0113 13,102494.2
2008 0114 14,102494.2
2008 0115 15,102494.2
2008 0116 16,102494.2
2008 0117 17,102494.2
2008 0118 18,102494.2
2008 0119 19,102494.2
2008 0120 20,102494.2
2008 0121 21,102494.2
2008 0122 22,102494.2
2008 0123 23,102494.2
2008 0124 24,102494.2
2008 0125 25,102494.2
2008 0126 26,102494.2
2008 0127 27,102494.2
2008 0128 28,102494.2
2008 0129 29,102494.2
2008 0130 30,102494.2
2008 0131 31,102494.2
2008 0201 01,102494.2
2008 0202 02,102494.2
2008 0203 03,102494.2
2008 0204 04,102494.2
2008 0205 05,102494.2
2008 0206 06,102494.2
2008 0207 07,102494.2
2008 0208 08,102494.2
2008 0209 09,102494.2
2008 0210 10,102494.2
2008 0211 11,102494.2
2008 0212 12,102494.2
2008 0213 13,102494.2
2008 0214 14,102494.2
2008 0215 15,102494.2
2008 0216 16,102494.2
2008 0217 17,102494.2
2008 0218 18,102494.2
2008 0219 19,102494.2
2008 0220 20,102494.2
2008 0221 21,102494.2
2008 0222 22,102494.2
2008 0223 23,102494.2
2008 0224 24,102494.2
2008 0225 25,102494.2
2008 0226 26,102494.2
2008 0227 27,102494.2
2008 0228 28,102494.2
2008 0229 29,102494.2
2008 0301 01,102494.2
2008 0302 02,102494.2
2008 0303 03,102494.2
2008 0304 04,102494.2
2008 0305 05,102494.2
2008 0306 06,102494.2
2008 0307 07,102494.2
2008 0308 08,102494.2
2008 0309 09,102494.2
2008 0310 10,102494.2
2008 0311 11,102494.2
2008 0312 12,102494.2
2008 0313 13,102494.2
2008 0314 14,102494.2
2008 0315 15,102494.2
2008 0316 16,102494.2
2008 0317 17,102494.2
2008 0318 18,102494.2
2008 0319 19,102494.2
2008 0320 20,102494.2
2008 0321 21,102494.2
2008 0322 22,102494.2
2008 0323 23,102494.2
2008 0324 24,102494.2
2008 0325 25,102494.2
2008 0326 26,102494.2
2008 0327 27,102494.2
2008 0328 28,102494.2
2008 0329 29,102494.2
2008 0330 30,102494.2
2008 0331 31,102494.2
2008 0401 01,100754.9
2008 0402 02,100754.9
2008 0403 03,100754.9
2008 0404 04,100754.9
2008 0405 05,100754.9
2008 0406 06,100754.9
2008 0407 07,100754.9
2008 0408 08,100754.9
2008 0409 09,100754.9
2008 0410 10,100754.9
2008 0411 11,100754.9
2008 0412 12,100754.9
2008 0413 13,100754.9
2008 0414 14,100754.9
2008 0415 15,100754.9
2008 0416 16,100754.9
2008 0417 17,100754.9
2008 0418 18,100754.9
2008 0419 19,100754.9
2008 0420 20,100754.9
2008 0421 21,100754.9
2008 0422 22,100754.9
2008 0423 23,100754.9
2008 0424 24,100754.9
2008 0425 25,100754.9
2008 0426 26,100754.9
2008 0427 27,100754.9
2008 0428 28,100754.9
2008 0429 29,100754.9
2008 0430 30,100754.9
2008 0501 01,100754.9
2008 0502 02,100754.9
2008 0503 03,100754.9
2008 0504 04,100754.9
2008 0505 05,100754.9
2008 0506 06,100754.9
2008 0507 07,100754.9
2008 0508 08,100754.9
2008 0509 09,100754.9
2008 0510 10,100754.9
2008 0511 11,100754.9
2008 0512 12,100754.9
2008 0513 13,100754.9
2008 0514 14,100754.9
2008 0515 15,100754.9
2008 0516 16,100754.9
2008 0517 17,100754.9
2008 0518 18,100754.9
2008 0519 19,100754.9
2008 0520 20,100754.9
2008 0521 21,100754.9
2008 0522 22,100754.9
2008 0523 23,100754.9
2008 0524 24,100754.9
2008 0525 25,100754.9
2008 0526 26,100754.9
2008 0527 27,100754.9
2008 0528 28,100754.9
2008 0529 29,100754.9
2008 0530 30,100754.9
2008 0531 31,100754.9
2008 0601 01,100754.9
2008 0602 02,100754.9
2008 0603 03,100754.9
2008 0604 04,100754.9
2008 0605 05,100754.9
2008 0606 06,100754.9
2008 0607 07,100754.9
2008 0608 08,100754.9
2008 0609 09,100754.9
2008 0610 10,100754.9
2008 0611 11,100754.9
2008 0612 12,100754.9
2008 0613 13,100754.9
2008 0614 14,100754.9
2008 0615 15,100754.9
2008 0616 16,100754.9
2008 0617 17,100754.9
2008 0618 18,100754.9
2008 0619 19,100754.9
2008 0620 20,100754.9
2008 0621 21,100754.9
2008 0622 22,100754.9
2008 0623 23,100754.9
2008 0624 24,100754.9
2008 0625 25,100754.9
2008 0626 26,100754.9
2008 0627 27,100754.9
2008 0628 28,100754.9
2008 0629 29,100754.9
2008 0630 30,100754.9
2008 0701 01,100754.9
2008 0702 02,100754.9
2008 0703 03,100754.9
2008 0704 04,100754.9
2008 0705 05,100754.9
2008 0706 06,100754.9
2008 0707 07,100754.9
2008 0708 08,100754.9
2008 0709 09,100754.9
2008 0710 10,100754.9
2008 0711 11,100754.9
2008 0712 12,100754.9
2008 0713 13,100754.9
2008 0714 14,100754.9
2008 0715 15,100754.9
2008 0716 16,100754.9
2008 0717 17,100754.9
2008 0718 18,100754.9
2008 0719 19,100754.9
2008 0720 20,100754.9
2008 0721 21,100754.9
2008 0722 22,100754.9
2008 0723 23,100754.9
2008 0724 24,100754.9
2008 0725 25,100754.9
2008 0726 26,100754.9
2008 0727 27,100754.9
2008 0728 28,100754.9
2008 0729 29,100754.9
2008 0730 30,100754.9
2008 0731 31,100754.9
2008 0801 01,100754.9
2008 0802 02,100754.9
2008 0803 03,100754.9
2008 0804 04,100754.9
2008 0805 05,100754.9
2008 0806 06,100754.9
2008 0807 07,100754.9
2008 0808 08,100754.9
2008 0809 09,100754.9
2008 0810 10,100754.9
2008 0811 11,100754.9
2008 0812 12,100754.9
2008 0813 13,100754.9
2008 0814 14,100754.9
2008 0815 15,100754.9
2008 0816 16,100754.9
2008 0817 17,100754.9
2008 0818 18,100754.9
2008 0819 19,100754.9
2008 0820 20,100754.9
2008 0821 21,100754.9
2008 0822 22,100754.9
2008 0823 23,100754.9
2008 0824 24,100754.9
2008 0825 25,100754.9
2008 0826 26,100754.9
2008 0827 27,100754.9
2008 0828 28,100754.9
2008 0829 29,100754.9
2008 0830 30,100754.9
2008 0831 31,100754.9
2008 0901 01,100754.9
2008 0902 02,100754.9
2008 0903 03,100754.9
2008 0904 04,100754.9
2008 0905 05,100754.9
2008 0906 06,100754.9
2008 0907 07,100754.9
2008 0908 08,100754.9
2008 0909 09,100754.9
2008 0910 10,100754.9
2008 0911 11,100754.9
2008 0912 12,100754.9
2008 0913 13,100754.9
2008 0914 14,100754.9
2008 0915 15,100754.9
2008 0916 16,100754.9
2008 0917 17,100754.9
2008 0918 18,100754.9
2008 0919 19,100754.9
2008 0920 20,100754.9
2008 0921 21,100754.9
2008 0922 22,100754.9
2008 0923 23,100754.9
2008 0924 24,100754.9
2008 0925 25,100754.9
2008 0926 26,100754.9
2008 0927 27,100754.9
2008 0928 28,100754.9
2008 0929 29,100754.9
2008 0930 30,100754.9
2008 1001 01,102494.2
2008 1002 02,102494.2
2008 1003 03,102494.2
2008 1004 04,102494.2
2008 1005 05,102494.2
2008 1006 06,102494.2
2008 1007 07,102494.2
2008 1008 08,102494.2
2008 1009 09,102494.2
2008 1010 10,102494.2
2008 1011 11,102494.2
2008 1012 12,102494.2
2008 1013 13,102494.2
2008 1014 14,102494.2
2008 1015 15,102494.2
2008 1016 16,102494.2
2008 1017 17,102494.2
2008 1018 18,102494.2
2008 1019 19,102494.2
2008 1020 20,102494.2
2008 1021 21,102494.2
2008 1022 22,102494.2
2008 1023 23,102494.2
2008 1024 24,102494.2
2008 1025 25,102494.2
2008 1026 26,102494.2
2008 1027 27,102494.2
2008 1028 28,102494.2
2008 1029 29,102494.2
2008 1030 30,102494.2
2008 1031 31,102494.2
2008 1101 01,102494.2
2008 1102 02,102494.2
2008 1103 03,102494.2
2008 1104 04,102494.2
2008 1105 05,102494.2
2008 1106 06,102494.2
2008 1107 07,102494.2
2008 1108 08,102494.2
2008 1109 09,102494.2
2008 1110 10,102494.2
2008 1111 11,102494.2
2008 1112 12,102494.2
2008 1113 13,102494.2
2008 1114 14,102494.2
2008 1115 15,102494.2
2008 1116 16,102494.2
2008 1117 17,102494.2
2008 1118 18,102494.2
2008 1119 19,102494.2
2008 1120 20,102494.2
2008 1121 21,102494.2
2008 1122 22,102494.2
2008 1123 23,102494.2
2008 1124 24,102494.2
2008 1125 25,102494.2
2008 1126 26,102494.2
2008 1127 27,102494.2
2008 1128 28,102494.2
2008 1129 29,102494.2
2008 1130 30,102494.2
2008 1201 01,102494.2
2008 1202 02,102494.2
2008 1203 03,102494.2
2008 1204 04,102494.2
2008 1205 05,102494.2
2008 1206 06,102494.2
2008 1207 07,102494.2
2008 1208 08,102494.2
2008 1209 09,102494.2
2008 1210 10,102494.2
2008 1211 11,102494.2
2008 1212 12,102494.2
2008 1213 13,102494.2
2008 1214 14,102494.2
2008 1215 15,102494.2
2008 1216 16,102494.2
2008 1217 17,102494.2
2008 1218 18,102494.2
2008 1219 19,102494.2
2008 1220 20,102494.2
2008 1221 21,102494.2
2008 1222 22,102494.2
2008 1223 23,102494.2
2008 1224 24,102494.2
2008 1225 25,102494.2
2008 1226 26,102494.2
2008 1227 27,102494.2
2008 1228 28,102494.2
2008 1229 29,102494.2
2008 1230 30,102494.2
2008 1231 31,102494.2
2009 0101 01,102489.1
2009 0102 02,102489.1
2009 0103 03,102489.1
2009 0104 04,102489.1
2009 0105 05,102489.1
2009 0106 06,102489.1
2009 0107 07,102489.1
2009 0108 08,102489.1
2009 0109 09,102489.1
2009 0110 10,102489.1
2009 0111 11,102489.1
2009 0112 12,102489.1
2009 0113 13,102489.1
2009 0114 14,102489.1
2009 0115 15,102489.1
2009 0116 16,102489.1
2009 0117 17,102489.1
2009 0118 18,102489.1
2009 0119 19,102489.1
2009 0120 20,102489.1
2009 0121 21,102489.1
2009 0122 22,102489.1
2009 0123 23,102489.1
2009 0124 24,102489.1
2009 0125 25,102489.1
2009 0126 26,102489.1
2009 0127 27,102489.1
2009 0128 28,102489.1
2009 0129 29,102489.1
2009 0130 30,102489.1
2009 0131 31,102489.1
2009 0201 01,102489.1
2009 0202 02,102489.1
2009 0203 03,102489.1
2009 0204 04,102489.1
2009 0205 05,102489.1
2009 0206 06,102489.1
2009 0207 07,102489.1
2009 0208 08,102489.1
2009 0209 09,102489.1
2009 0210 10,102489.1
2009 0211 11,102489.1
2009 0212 12,102489.1
2009 0213 13,102489.1
2009 0214 14,102489.1
2009 0215 15,102489.1
2009 0216 16,102489.1
2009 0217 17,102489.1
2009 0218 18,102489.1
2009 0219 19,102489.1
2009 0220 20,102489.1
2009 0221 21,102489.1
2009 0222 22,102489.1
2009 0223 23,102489.1
2009 0224 24,102489.1
2009 0225 25,102489.1
2009 0226 26,102489.1
2009 0227 27,102489.1
2009 0228 28,102489.1
2009 0301 01,102489.1
2009 0302 02,102489.1
2009 0303 03,102489.1
2009 0304 04,102489.1
2009 0305 05,102489.1
2009 0306 06,102489.1
2009 0307 07,102489.1
2009 0308 08,102489.1
2009 0309 09,102489.1
2009 0310 10,102489.1
2009 0311 11,102489.1
2009 0312 12,102489.1
2009 0313 13,102489.1
2009 0314 14,102489.1
2009 0315 15,102489.1
2009 0316 16,102489.1
2009 0317 17,102489.1
2009 0318 18,102489.1
2009 0319 19,102489.1
2009 0320 20,102489.1
2009 0321 21,102489.1
2009 0322 22,102489.1
2009 0323 23,102489.1
2009 0324 24,102489.1
2009 0325 25,102489.1
2009 0326 26,102489.1
2009 0327 27,102489.1
2009 0328 28,102489.1
2009 0329 29,102489.1
2009 0330 30,102489.1
2009 0331 31,102489.1
2009 0401 01,101003.7
2009 0402 02,101003.7
2009 0403 03,101003.7
2009 0404 04,101003.7
2009 0405 05,101003.7
2009 0406 06,101003.7
2009 0407 07,101003.7
2009 0408 08,101003.7
2009 0409 09,101003.7
2009 0410 10,101003.7
2009 0411 11,101003.7
2009 0412 12,101003.7
2009 0413 13,101003.7
2009 0414 14,101003.7
2009 0415 15,101003.7
2009 0416 16,101003.7
2009 0417 17,101003.7
2009 0418 18,101003.7
2009 0419 19,101003.7
2009 0420 20,101003.7
2009 0421 21,101003.7
2009 0422 22,101003.7
2009 0423 23,101003.7
2009 0424 24,101003.7
2009 0425 25,101003.7
2009 0426 26,101003.7
2009 0427 27,101003.7
2009 0428 28,101003.7
2009 0429 29,101003.7
2009 0430 30,101003.7
2009 0501 01,101003.7
2009 0502 02,101003.7
2009 0503 03,101003.7
2009 0504 04,101003.7
2009 0505 05,101003.7
2009 0506 06,101003.7
2009 0507 07,101003.7
2009 0508 08,101003.7
2009 0509 09,101003.7
2009 0510 10,101003.7
2009 0511 11,101003.7
2009 0512 12,101003.7
2009 0513 13,101003.7
2009 0514 14,101003.7
2009 0515 15,101003.7
2009 0516 16,101003.7
2009 0517 17,101003.7
2009 0518 18,101003.7
2009 0519 19,101003.7
2009 0520 20,101003.7
2009 0521 21,101003.7
2009 0522 22,101003.7
2009 0523 23,101003.7
2009 0524 24,101003.7
2009 0525 25,101003.7
2009 0526 26,101003.7
2009 0527 27,101003.7
2009 0528 28,101003.7
2009 0529 29,101003.7
2009 0530 30,101003.7
2009 0531 31,101003.7
2009 0601 01,101003.7
2009 0602 02,101003.7
2009 0603 03,101003.7
2009 0604 04,101003.7
2009 0605 05,101003.7
2009 0606 06,101003.7
2009 0607 07,101003.7
2009 0608 08,101003.7
2009 0609 09,101003.7
2009 0610 10,101003.7
2009 0611 11,101003.7
2009 0612 12,101003.7
2009 0613 13,101003.7
2009 0614 14,101003.7
2009 0615 15,101003.7
2009 0616 16,101003.7
2009 0617 17,101003.7
2009 0618 18,101003.7
2009 0619 19,101003.7
2009 0620 20,101003.7
2009 0621 21,101003.7
2009 0622 22,101003.7
2009 0623 23,101003.7
2009 0624 24,101003.7
2009 0625 25,101003.7
2009 0626 26,101003.7
2009 0627 27,101003.7
2009 0628 28,101003.7
2009 0629 29,101003.7
2009 0630 30,101003.7
2009 0701 01,101003.7
2009 0702 02,101003.7
2009 0703 03,101003.7
2009 0704 04,101003.7
2009 0705 05,101003.7
2009 0706 06,101003.7
2009 0707 07,101003.7
2009 0708 08,101003.7
2009 0709 09,101003.7
2009 0710 10,101003.7
2009 0711 11,101003.7
2009 0712 12,101003.7
2009 0713 13,101003.7
2009 0714 14,101003.7
2009 0715 15,101003.7
2009 0716 16,101003.7
2009 0717 17,101003.7
2009 0718 18,101003.7
2009 0719 19,101003.7
2009 0720 20,101003.7
2009 0721 21,101003.7
2009 0722 22,101003.7
2009 0723 23,101003.7
2009 0724 24,101003.7
2009 0725 25,101003.7
2009 0726 26,101003.7
2009 0727 27,101003.7
2009 0728 28,101003.7
2009 0729 29,101003.7
2009 0730 30,101003.7
2009 0731 31,101003.7
2009 0801 01,101003.7
2009 0802 02,101003.7
2009 0803 03,101003.7
2009 0804 04,101003.7
2009 0805 05,101003.7
2009 0806 06,101003.7
2009 0807 07,101003.7
2009 0808 08,101003.7
2009 0809 09,101003.7
2009 0810 10,101003.7
2009 0811 11,101003.7
2009 0812 12,101003.7
2009 0813 13,101003.7
2009 0814 14,101003.7
2009 0815 15,101003.7
2009 0816 16,101003.7
2009 0817 17,101003.7
2009 0818 18,101003.7
2009 0819 19,101003.7
2009 0820 20,101003.7
2009 0821 21,101003.7
2009 0822 22,101003.7
2009 0823 23,101003.7
2009 0824 24,101003.7
2009 0825 25,101003.7
2009 0826 26,101003.7
2009 0827 27,101003.7
2009 0828 28,101003.7
2009 0829 29,101003.7
2009 0830 30,101003.7
2009 0831 31,101003.7
2009 0901 01,101003.7
2009 0902 02,101003.7
2009 0903 03,101003.7
2009 0904 04,101003.7
2009 0905 05,101003.7
2009 0906 06,101003.7
2009 0907 07,101003.7
2009 0908 08,101003.7
2009 0909 09,101003.7
2009 0910 10,101003.7
2009 0911 11,101003.7
2009 0912 12,101003.7
2009 0913 13,101003.7
2009 0914 14,101003.7
2009 0915 15,101003.7
2009 0916 16,101003.7
2009 0917 17,101003.7
2009 0918 18,101003.7
2009 0919 19,101003.7
2009 0920 20,101003.7
2009 0921 21,101003.7
2009 0922 22,101003.7
2009 0923 23,101003.7
2009 0924 24,101003.7
2009 0925 25,101003.7
2009 0926 26,101003.7
2009 0927 27,101003.7
2009 0928 28,101003.7
2009 0929 29,101003.7
2009 0930 30,101003.7
2009 1001 01,102489.1
2009 1002 02,102489.1
2009 1003 03,102489.1
2009 1004 04,102489.1
2009 1005 05,102489.1
2009 1006 06,102489.1
2009 1007 07,102489.1
2009 1008 08,102489.1
2009 1009 09,102489.1
2009 1010 10,102489.1
2009 1011 11,102489.1
2009 1012 12,102489.1
2009 1013 13,102489.1
2009 1014 14,102489.1
2009 1015 15,102489.1
2009 1016 16,102489.1
2009 1017 17,102489.1
2009 1018 18,102489.1
2009 1019 19,102489.1
2009 1020 20,102489.1
2009 1021 21,102489.1
2009 1022 22,102489.1
2009 1023 23,102489.1
2009 1024 24,102489.1
2009 1025 25,102489.1
2009 1026 26,102489.1
2009 1027 27,102489.1
2009 1028 28,102489.1
2009 1029 29,102489.1
2009 1030 30,102489.1
2009 1031 31,102489.1
2009 1101 01,102489.1
2009 1102 02,102489.1
2009 1103 03,102489.1
2009 1104 04,102489.1
2009 1105 05,102489.1
2009 1106 06,102489.1
2009 1107 07,102489.1
2009 1108 08,102489.1
2009 1109 09,102489.1
2009 1110 10,102489.1
2009 1111 11,102489.1
2009 1112 12,102489.1
2009 1113 13,102489.1
2009 1114 14,102489.1
2009 1115 15,102489.1
2009 1116 16,102489.1
2009 1117 17,102489.1
2009 1118 18,102489.1
2009 1119 19,102489.1
2009 1120 20,102489.1
2009 1121 21,102489.1
2009 1122 22,102489.1
2009 1123 23,102489.1
2009 1124 24,102489.1
2009 1125 25,102489.1
2009 1126 26,102489.1
2009 1127 27,102489.1
2009 1128 28,102489.1
2009 1129 29,102489.1
2009 1130 30,102489.1
2009 1201 01,102489.1
2009 1202 02,102489.1
2009 1203 03,102489.1
2009 1204 04,102489.1
2009 1205 05,102489.1
2009 1206 06,102489.1
2009 1207 07,102489.1
2009 1208 08,102489.1
